# PARTICIPANT INFO
id,age,gender,handedness,startTime,endTime,finalCoins_exp1
999,19,male,right,8521,198515.00000000003,16

# EXPERIMENT 1 TRIALS
trial_index,stimulus,imagePath,start_time,choice,rt,outcome,coins_before,coins_after
1,zaff1,./stimuli/exp1/hh4.png,15868,approach,1226,1,4,5
2,nonzaff4,./stimuli/exp1/ss4.png,19040,avoid,1295,0,5,5
3,zaff2,./stimuli/exp1/sh4.png,21943,approach,1299,1,5,6
4,zaff3,./stimuli/exp1/hs1.png,24747,approach,1986,1,6,7
5,nonzaff4,./stimuli/exp1/ss2.png,28184,avoid,3036.0000000000036,0,7,7
6,zaff1,./stimuli/exp1/hh2.png,32878,approach,2436,1,7,8
7,zaff3,./stimuli/exp1/hs3.png,36778,approach,6184,1,8,9
8,zaff2,./stimuli/exp1/sh3.png,44268,approach,1794,1,9,10
9,zaff2,./stimuli/exp1/sh1.png,47666.00000000001,approach,1595.9999999999927,1,10,11
10,zaff3,./stimuli/exp1/hs2.png,50354,approach,1714,1,11,12
11,nonzaff4,./stimuli/exp1/ss1.png,53429,avoid,2438.0000000000073,0,12,12
12,zaff1,./stimuli/exp1/hh1.png,57280,approach,1271,1,12,13
13,zaff3,./stimuli/exp1/hs4.png,59895,approach,5121.999999999993,1,13,14
14,zaff2,./stimuli/exp1/sh2.png,66320.00000000001,approach,3730.9999999999854,1,14,15
15,zaff1,./stimuli/exp1/hh3.png,71496,approach,1163,1,15,16
16,nonzaff4,./stimuli/exp1/ss3.png,73714,avoid,3578,0,16,16

# EXPERIMENT 2 RANKING
rank,itemId,text
1,item-3,在目标正体验一种强烈情绪（如热恋）时，瞬间将其完全清除，使其内心归于绝对的平静。
2,item-5,在一个完全中性、无任何刺激的情境下，让目标体验到一种强烈的、无缘由的复杂情绪（如乡愁）。
3,item-6,让目标针对同一件事，在同一瞬间体验到两种同样强烈或都较弱的同效价维度情绪（例如，对毕业既感到悲伤又感到愤怒）
4,item-2,在一个强烈的情境下，将个体应有的情绪转为相近而不同的其他情绪，例如由惊恐转为厌恶
5,item-7,在1小时内定格对象的情绪，无论之后情境怎么变，对象的情绪都不会变
6,item-9,强行将目标一种正在体验的情绪转入潜意识，使其意识层面感觉不到，但情绪本身仍对行为产生潜在影响。
7,item-10,让目标的情绪产生的时间间断性延后，比如原本考试满分立刻感到狂喜，现在得知此消息后十分钟后才狂喜（情境完全一致）
8,item-1,让目标情绪产生的速度变慢，比如原本考试满分立刻感到狂喜，现在得知此消息后在十分钟内慢慢由微弱的开心到大笑再到狂喜（情境完全一样）
9,item-4,将目标已有的某种情绪，在性质不变的情况下，等比例增强其强度（例如，将微小的烦躁增强为愤怒）。
10,item-8,在目标现有情绪的基调上，增添一抹细微的“色彩”（例如，在“开心”的情绪上，增添一丝“得意”的感觉）。

# EVENT LOG
event,timestamp,page,details
739,408,32348
739,408,32358.000000000004
739,408,32369
739,408,32378.999999999996
739,408,32390
739,408,32401.000000000004
739,407,32412
739,407,32422.000000000004
739,407,32432.000000000004
738,407,32442.999999999996
738,407,32453.000000000004
738,407,32464
738,407,32475
738,407,32485
738,407,32496.000000000004
738,407,32506.999999999996
739,407,32518
739,407,32528
739,408,32539
739,408,32549.999999999996
740,409,32560.000000000004
741,410,32570.999999999996
741,410,32581.000000000004
741,411,32592
742,412,32602.000000000004
742,412,32613
743,413,32622.999999999996
743,413,32634
744,414,32645.000000000004
745,415,32655
745,415,32666.000000000004
745,415,32677
746,416,32686.999999999996
746,416,32698
746,416,32709.000000000004
746,416,32719
746,416,32730.000000000004
746,416,32741
746,416,32752.000000000004
746,416,32762.999999999996
746,416,32774
746,416,32785.00000000001
746,416,32795
746,416,32806
746,416,32816
746,416,32827
746,416,32838
746,416,32849.00000000001
746,416,32860
746,416,32871
746,416,32881
746,416,32892
746,416,32949
746,416,32960
746,416,32971
746,416,32981
746,416,32992
746,416,33003
746,416,33014
746,416,33025
746,416,33036
746,416,33047.00000000001
746,416,33057
746,416,33068
746,416,33079
746,416,33090
746,416,33101
746,416,33112
746,416,33123
746,416,33134
746,416,33145
746,416,33155
746,416,33166.00000000001
746,416,33177
746,416,33188
746,416,33199
746,416,33210
746,416,33221
746,416,33233.00000000001
746,416,33243
746,416,33254
746,416,33265
746,416,33276
746,416,33287
746,416,33298
746,416,33309
746,416,33320
746,416,33330
746,416,33340
746,416,33351
746,416,33362
746,416,33373
746,416,33383
746,416,33394
746,416,33405
746,416,33416.00000000001
746,416,33427
746,416,33438
746,416,33448
746,416,33458
746,416,33469
746,416,33480.00000000001
746,416,33491
746,416,33503
746,416,33514
746,416,33525
746,416,33535.00000000001
746,416,33546
746,416,33556
746,416,33567
746,416,33578
746,416,33588
746,416,33599.00000000001
746,416,33610
746,416,33621
746,416,33631
746,416,33642
746,416,33653
746,416,33664
746,416,33675
746,416,33685
746,416,33696
745,416,33706
743,417,33719
742,417,33730.00000000001
742,417,33741
739,419,33751
738,420,33763
738,420,33773
737,421,33783
737,421,33794.00000000001
737,421,33805
736,421,33816
736,421,33826
736,421,33837
736,421,33848
736,421,33858.00000000001
736,421,33869
736,421,33880
736,421,33891
737,421,33904
737,421,33914
737,421,33925
737,421,33935
737,421,33946
737,421,33956
737,421,33966
737,421,33976
737,421,33988
737,421,34000
737,421,34010
737,421,34021
737,421,34031
737,421,34041.00000000001
738,421,34055
738,420,34065
738,420,34075
738,420,34087
738,420,34097
738,420,34108.00000000001
738,420,34119
738,420,34130
738,420,34140
738,420,34151
738,420,34162
738,420,34172.00000000001
738,420,34183
738,420,34193
738,420,34204
738,420,34215
738,420,34226
738,420,34237
738,420,34248
738,420,34259
738,419,34269
738,419,34279
738,419,34290
738,419,34300.00000000001
738,419,34311
738,419,34322
738,419,34333
738,419,34344
738,419,34355.00000000001
738,419,34365
738,419,34376
738,419,34387
738,419,34398
738,419,34408
739,419,34418
739,419,34429
739,419,34440
739,419,34451
739,419,34462
739,419,34472
739,419,34483.00000000001
739,419,34494
739,419,34505
739,419,34516
739,419,34527
739,419,34538.00000000001
739,419,34548
739,419,34559
738,419,34569
737,420,34583
735,421,34598
735,421,34609
731,423,34619
724,427,34630
724,427,34641
707,437,34652
672,455,34663.00000000001
672,455,34674
619,488,34684
573,517,34696
573,517,34707
534,543,34718
502,568,34729
502,568,34740
472,589,34750
454,603,34762
454,603,34773
435,617,34783
422,628,34797.00000000001
422,628,34807
412,636,34818
404,641,34830
404,641,34841
397,647,34851
385,654,34864
385,654,34875
377,660,34885
368,664,34896
368,664,34906
359,669,34917
349,674,34928
349,674,34939
344,677,34950
338,680,34960
338,680,34971
334,682,34982
334,682,34993
330,686,35004
325,691,35015
325,691,35025
318,700,35035.00000000001
318,700,35046
310,709,35056
302,719,35067
297,724,35077
297,724,35088
295,726,35099.00000000001
293,729,35110
293,729,35121
292,730,35131
291,731,35142
291,731,35152
290,731,35163.00000000001
290,731,35173
290,731,35184
290,731,35194
290,731,35205
290,731,35216
290,731,35226
290,731,35237
290,731,35248
290,731,35258
290,731,35269
290,731,35280
290,731,35290
290,731,35301
290,731,35313
290,731,35323
290,731,35334
290,731,35345
290,731,35356
290,731,35367
290,731,35378
290,731,35389
290,731,35400
290,731,35411
290,731,35422.00000000001
290,731,35433
290,731,35444
290,731,35455
290,731,35465
290,731,35476
290,731,35487
290,731,35498
293,730,35508
293,730,35519
299,727,35530
329,711,35540
329,711,35551
456,643,35562
561,581,35572
561,581,35583
645,539,35594
645,539,35605.00000000001
712,511,35616
780,489,35626
780,489,35638
810,482,35648
837,476,35658
837,476,35669.00000000001
847,475,35680
855,474,35690
855,474,35701
858,474,35712
859,474,35723
859,474,35734
859,474,35744
859,474,35754
859,474,35765
858,474,35775
858,474,35785.00000000001
856,474,35796
853,474,35806
853,474,35817
849,474,35827
845,473,35837
845,473,35848
840,471,35859
840,471,35869
836,470,35880
831,468,35890
831,468,35901
826,465,35912
822,463,35922.00000000001
822,463,35933
819,461,35944
815,459,35954
815,459,35965
811,457,35975
811,457,35985
807,455,35996
800,452,36006
800,452,36017
795,450,36028
791,449,36038.00000000001
791,449,36049
788,448,36060
785,448,36070
785,448,36081
782,447,36092
779,447,36102.00000000001
779,447,36113
777,447,36124
777,447,36135
776,447,36146
775,447,36156
775,447,36167
774,447,36177
773,447,36187
773,447,36198
773,447,36209
773,447,36219
773,447,36230.00000000001
773,447,36240
773,447,36251
772,447,36261
772,446,36272
772,446,36282
772,446,36293
772,446,36304
772,446,36315
771,446,36325
771,446,36335
771,446,36346
771,445,36357
771,445,36368
770,445,36379
769,445,36389
769,445,36400
769,445,36410.00000000001
769,445,36421
768,445,36433
767,445,36443
767,445,36454
766,445,36465
765,445,36475
765,445,36485
765,445,36496
764,445,36506
764,445,36518
763,444,36528
763,444,36538.00000000001
763,444,36549
762,444,36560
762,444,36570
762,444,36581
762,444,36592
762,444,36602.00000000001
762,443,36612
762,443,36623
762,443,36634
762,443,36644
762,443,36655
762,443,36665
762,443,36676
762,443,36687
762,443,36698
762,443,36709
762,443,36719
762,443,36730.00000000001
762,443,36741
762,443,36752
762,443,36763
762,443,36774
762,443,36784
762,443,36794.00000000001
762,443,36848
762,443,36858.00000000001
762,443,36869
762,443,36880
762,443,36890
762,443,36901
762,443,36912
762,443,36923
762,443,36934
762,443,36945
762,443,36956
762,443,36968
762,443,36979
762,443,36990
762,443,37001
762,443,37011
762,443,37022
762,443,37033
762,443,37044.00000000001
762,443,37055
762,443,37065
762,443,37076
762,443,37087
762,443,37098
762,443,37109
762,443,37120
762,443,37131
762,443,37142
762,443,37153
762,443,37164
762,443,37175.00000000001
762,443,37185
762,443,37196
762,443,37207
762,443,37219
762,443,37229
762,443,37240
762,443,37251
762,443,37262
762,443,37273
762,443,37284
762,443,37294.00000000001
762,443,37304
762,443,37315
762,443,37326
762,443,37338
762,443,37349.00000000001
762,443,37360
762,443,37371
762,443,37382
762,443,37393
762,443,37403
762,443,37414
762,443,37425.00000000001
762,443,37435
762,443,37447
762,442,37457
762,442,37467
762,441,37477.00000000001
762,441,37488
762,440,37499
761,440,37510
761,440,37521
761,439,37531
761,439,37541.00000000001
761,439,37552
761,439,37563
760,439,37575
760,439,37585
760,439,37597
760,439,37607
760,439,37618
760,439,37629
760,439,37639
760,439,37650
760,439,37660.00000000001
760,439,37671
760,439,37681
759,439,37694
759,439,37704
759,439,37715
759,439,37726
759,439,37737
759,439,37747
759,439,37758
759,439,37769
759,439,37779
759,439,37790
759,439,37801
759,439,37812
759,439,37823
760,439,37837
760,439,37847
761,439,37859
761,439,37870
761,439,37880
761,439,37893
761,439,37904
761,439,37915
761,439,37925.00000000001
761,439,37935
761,439,37946
761,439,37957
761,439,37967
761,439,37980.00000000001
761,439,37990
761,439,38001
761,440,38011
761,440,38021
761,440,38031
761,440,38043
761,440,38054
761,440,38064
760,441,38075
760,441,38085
760,441,38096
760,441,38110
760,441,38121
760,441,38133
760,441,38144
760,441,38154
760,441,38165
760,441,38176
760,441,38187
760,441,38198
760,441,38209
760,441,38220
760,441,38231
760,441,38242
760,441,38253
760,441,38264
760,441,38275
760,441,38285.00000000001
760,441,38296
760,441,38307
760,441,38318
760,441,38328
760,441,38339
760,441,38350
760,441,38361.00000000001
760,441,38371
760,441,38382
760,441,38393
760,441,38404
760,441,38415
760,441,38426
760,441,38436
760,441,38447
760,441,38458
760,441,38469
760,441,38480.00000000001
760,441,38490
760,441,38501
760,441,38512
760,441,38523
760,441,38534
760,441,38544.00000000001
760,441,38555
760,441,38566
760,441,38577
760,441,38590
760,441,38600
760,442,38610
760,442,38621
760,442,38635
760,442,38646
760,442,38656
759,443,38668
759,443,38679
759,443,38690
759,444,38701
759,444,38712
759,444,38723
759,444,38733.00000000001
759,444,38744
759,444,38755
759,444,38766
759,444,38781
759,444,38792
760,444,38802
760,444,38813
760,443,38823
761,443,38833
761,443,38844
761,443,38855.00000000001
761,443,38866
761,443,38877
761,443,38888
761,443,38899
761,443,38910.00000000001
761,443,38921
761,443,38931
761,443,38942
761,443,38952
761,443,38963
761,443,38974.00000000001
761,443,38984
761,443,38995
761,443,39007
761,443,39018
761,443,39029
761,443,39040
761,443,39051
761,443,39062
761,443,39072
761,443,39084
760,443,39094
760,443,39105.00000000001
760,444,39115
760,444,39126
760,444,39137
759,445,39148
759,445,39158
759,445,39169.00000000001
759,445,39179
759,445,39189
759,445,39200
759,445,39210
759,445,39221
759,445,39232
759,445,39243
759,445,39254
759,445,39268
759,445,39278
759,445,39288.00000000001
759,444,39299
759,444,39310
759,444,39320
759,444,39331
759,444,39342
759,444,39353
759,444,39364.00000000001
759,444,39375
759,444,39385
759,444,39396
759,444,39407
759,444,39418
759,444,39429
759,444,39440
759,444,39450
759,444,39462
759,444,39472
759,444,39483.00000000001
759,444,39494
759,444,39505
759,444,39516
759,444,39527
759,444,39537
759,444,39548
759,444,39559
759,444,39570
759,444,39581
759,444,39592
759,444,39603
759,444,39614.00000000001
759,444,39630
759,444,39644
759,444,39655
758,444,39666.00000000001
758,444,39676
758,444,39687
758,444,39698
757,444,39708
757,444,39719
757,444,39729
756,443,39740
756,443,39751
756,443,39762
756,442,39773
756,442,39784
756,442,39795
755,442,39808
755,442,39819
755,442,39829
755,441,39841
755,441,39852.00000000001
755,441,39863
755,441,39873
755,441,39884
755,441,39895
755,441,39907
755,441,39918
755,441,39929
755,441,39940
755,441,39950
755,441,39961
755,441,39972
755,441,39983.00000000001
755,441,39994
755,441,40005
755,441,40015
755,441,40026
755,441,40037
755,441,40049
755,441,40060
755,441,40071
755,441,40082
755,441,40093
755,441,40104
755,441,40115
755,441,40125
755,441,40136
755,441,40147
755,441,40157
755,441,40168
755,441,40179
755,441,40190
755,441,40201
755,441,40223
755,442,40233.00000000001
755,442,40244
755,442,40255
755,442,40265
755,442,40276
755,442,40287
756,442,40298
756,442,40308
756,442,40319
756,442,40330
756,442,40341
756,442,40352.00000000001
756,442,40363
756,442,40374
756,442,40385
756,442,40396
756,442,40406
756,442,40417
756,442,40429
756,442,40440
755,442,40450
755,442,40460
755,442,40471
755,442,40482
755,442,40493
755,442,40503
755,442,40514
755,442,40524
754,442,40537
754,442,40548
754,442,40558
754,442,40570
754,442,40581
754,443,40594
754,443,40605.00000000001
754,443,40617
754,443,40627
754,443,40638
754,443,40648
754,443,40659
754,443,40670
754,443,40681
754,443,40692
754,443,40702
754,443,40713
754,443,40724.00000000001
754,443,40734
754,443,40745
754,443,40756
754,443,40766
753,443,40776
753,443,40787
753,444,40798
753,444,40811
753,444,40821
753,444,40832
753,444,40842
753,444,40853
753,445,40864.00000000001
753,445,40874
753,445,40885
753,445,40895
753,445,40908
753,445,40918
753,445,40928.00000000001
752,446,40942
752,446,40952
752,446,40963
752,446,40974.00000000001
752,446,40984
752,446,40994
752,446,41005
752,446,41016
752,446,41027
752,446,41038.00000000001
752,446,41049
752,446,41060
752,446,41071
752,446,41082
752,446,41093
752,446,41104
752,446,41114.00000000001
752,446,41125
752,446,41137
752,446,41148
752,446,41159
752,446,41169.00000000001
752,446,41179
752,446,41190
752,446,41201
752,446,41212
752,446,41223
753,446,41233.00000000001
753,446,41244
753,446,41255
753,446,41265
753,446,41276
753,446,41291.00000000001
753,446,41301
753,446,41312
753,446,41323
753,446,41334
753,446,41345
753,446,41356
753,446,41367
753,446,41378
753,446,41389
754,446,41399
754,446,41410.00000000001
754,446,41420
754,446,41431
754,446,41442
754,446,41452
754,446,41463
754,446,41474.00000000001
754,446,41484
754,446,41494
754,446,41505
754,446,41516
754,446,41527
754,446,41538.00000000001
754,447,41548
754,447,41559
754,447,41570
754,447,41580
754,447,41590
754,447,41604
754,447,41615
754,447,41627
754,447,41638
754,448,41653
754,448,41663.00000000001
754,448,41675.00000000001
754,448,41686
754,448,41697
753,449,41708
753,449,41719
753,449,41729
753,449,41741
753,449,41752
752,449,41763
752,450,41775
752,450,41785.00000000001
751,450,41796
750,450,41809
750,450,41820
749,451,41830
748,452,41841
748,452,41852.00000000001
747,453,41863
746,453,41874
746,453,41885
744,454,41895
743,454,41908
743,454,41919.00000000001
742,455,41929
741,456,41941
741,456,41952
740,456,41963
739,457,41974.00000000001
739,457,41985
737,458,41996
735,459,42006
735,459,42017
730,462,42028
730,462,42038.00000000001
723,465,42049
712,472,42059
712,472,42070
701,478,42081
684,487,42091
684,487,42102.00000000001
666,497,42112
649,506,42123
649,506,42133
633,516,42143
633,516,42154
621,524,42165
613,528,42175.00000000001
613,528,42185
602,534,42195
595,539,42208
595,539,42219
585,545,42229
577,549,42241
577,549,42252
570,554,42262
563,558,42275
563,558,42285.00000000001
556,561,42296
548,564,42307
548,564,42318
539,568,42329
527,573,42342
527,573,42353
514,578,42364.00000000001
500,584,42375
500,584,42385
486,590,42396
464,602,42406
464,602,42418
433,627,42428.00000000001
433,627,42438
415,642,42449
397,660,42459
397,660,42470
385,672,42481
380,678,42491
380,678,42502
372,685,42513
367,690,42523
367,690,42533
361,695,42544.00000000001
361,695,42555
357,698,42566
350,703,42576
350,703,42587
344,707,42598
338,711,42608.00000000001
338,711,42619
328,717,42630
324,720,42640
324,720,42650
320,721,42661
320,721,42672.00000000001
318,722,42682
314,723,42693
314,723,42703
314,723,42713
312,723,42724.00000000001
312,723,42734
312,723,42745
311,723,42756
311,723,42766
311,723,42777
311,723,42787
311,723,42798
311,723,42808
311,723,42819
311,723,42829
311,723,42840
311,723,42851
311,723,42861.00000000001
311,723,42871
311,723,42882
311,723,42893
311,723,42903
311,723,42914
311,723,42925.00000000001
311,723,42935
311,723,42946
311,723,42956
311,723,42967
311,723,42977.00000000001
311,723,42988
311,723,42999
311,723,43010
311,723,43021
311,723,43031
311,723,43042
311,723,43052
311,723,43063
311,723,43074
311,723,43085
311,723,43095
311,723,43106
311,723,43117.00000000001
311,723,43128
311,723,43139
311,723,43150
311,723,43160.00000000001
311,723,43171
313,723,43181
317,722,43192
337,715,43202
337,715,43213
367,705,43224.00000000001
367,705,43235
423,688,43246
503,665,43256
503,665,43267
569,645,43277
604,635,43287
604,635,43298
675,610,43308
722,594,43318
722,594,43329
747,586,43340
770,577,43350
770,577,43360
785,571,43371
791,568,43381
791,568,43392
795,566,43403
795,566,43414
800,562,43425.00000000001
802,560,43435
802,560,43445
803,558,43456
803,556,43467
803,556,43477.00000000001
803,551,43487
803,544,43498
803,544,43509
803,536,43519
803,529,43530
803,529,43541.00000000001
801,521,43552
798,515,43562
798,515,43572
796,510,43583
793,506,43593
793,506,43604
790,501,43614.00000000001
790,501,43625
789,499,43635
787,496,43646
787,496,43657
786,493,43667
784,490,43677
784,490,43688
783,488,43699
783,488,43709
782,485,43720
781,483,43730.00000000001
781,483,43741
781,482,43752
781,481,43762
781,481,43773
780,479,43784
780,477,43794.00000000001
780,477,43805
779,475,43816
779,475,43827
779,473,43838
779,471,43848
779,471,43859
778,467,43870
777,465,43880
777,465,43890
777,462,43901
777,462,43911
776,458,43923
775,456,43933
775,456,43944
775,455,43955
774,454,43965
774,454,43975
774,454,43986.00000000001
774,454,43996
774,454,44008
773,453,44018
773,453,44029
773,453,44040
773,453,44050.00000000001
773,453,44060
773,453,44071
773,453,44081
773,453,44091
773,453,44102.00000000001
773,453,44113
773,453,44123
773,453,44134
773,453,44145
773,453,44156
773,453,44167
773,453,44178.00000000001
773,453,44188
773,453,44198
773,453,44209
773,453,44219
773,453,44230.00000000001
773,453,44240
773,453,44251
773,453,44262
773,453,44272
773,453,44283
773,453,44329
773,453,44340
773,453,44351
773,453,44362
773,453,44372
773,453,44383
773,453,44394
773,453,44405
773,453,44415
773,453,44426
773,453,44436
773,453,44447
773,453,44458
773,453,44469
773,453,44480.00000000001
773,453,44491
773,453,44502
773,453,44513
773,453,44523
773,453,44534
773,453,44544.00000000001
773,453,44555
773,453,44566
773,453,44577
773,453,44587
773,453,44598
773,453,44609
773,453,44620
773,453,44631
773,453,44642
773,453,44652
773,453,44663.00000000001
773,453,44673
773,453,44684
773,453,44696
773,453,44707
773,453,44718
773,453,44729
773,453,44740
773,453,44751
773,453,44762
773,453,44772
773,453,44782
773,453,44793
773,453,44804
773,453,44815
773,453,44826
773,453,44837
773,453,44849.00000000001
773,453,44860
773,453,44871
773,453,44882
773,453,44893
773,453,44904
773,453,44915
773,453,44926
773,453,44937
773,453,44948
773,453,44959
773,453,44970
773,453,44981
773,453,44992.00000000001
773,453,45002
773,453,45013
773,453,45023
773,453,45034
773,453,45044.00000000001
773,453,45055
773,453,45066
773,453,45077
773,453,45088
773,453,45099.00000000001
773,453,45110
773,453,45121
773,453,45131
773,453,45142
773,453,45153
773,453,45164
773,453,45175.00000000001
773,453,45185
773,453,45196
773,453,45207
773,453,45218
773,453,45230.00000000001
771,453,45240
767,456,45251
759,460,45262
725,478,45273
725,478,45284
680,501,45294.00000000001
680,501,45305
622,532,45316
558,569,45327
558,569,45337
493,608,45348
423,652,45358.00000000001
423,652,45369
378,681,45380
344,703,45390
344,703,45401
314,722,45412
298,733,45422.00000000001
298,733,45433
282,746,45444
282,746,45455
273,752,45466
266,757,45476
266,757,45487
262,760,45498
259,763,45509
257,764,45519
257,764,45530
256,765,45541.00000000001
255,765,45551
255,765,45562
255,766,45573
255,766,45583
255,766,45594
255,766,45605.00000000001
255,766,45616
255,766,45627
255,765,45637
255,765,45648
255,765,45659
255,765,45669.00000000001
255,765,45680
255,764,45690
256,762,45700
256,762,45710
258,759,45721
258,759,45731
260,756,45741
263,751,45752
263,751,45763
267,745,45774
271,739,45784
271,739,45795
275,735,45806.00000000001
275,735,45817
277,731,45827
279,728,45838
279,728,45848
279,727,45860
279,727,45870
279,727,45880
279,727,45891
279,727,45902
279,727,45913.00000000001
279,727,45924
279,727,45935
279,727,45945
279,727,45956
279,727,45967
279,727,45977.00000000001
279,727,45988
279,727,45998
279,727,46009
279,727,46020
279,727,46030
279,727,46040
279,727,46051
279,727,46061
279,727,46072
279,727,46082
279,727,46093
279,727,46104
279,727,46115
279,727,46126
279,727,46137
279,727,46148
279,727,46159
279,727,46169.00000000001
279,727,46180
279,727,46191
279,727,46202
279,727,46213
279,727,46224.00000000001
279,727,46235
281,727,46245
286,724,46256
297,718,46266
297,718,46277
334,697,46288.00000000001
389,664,46299
389,664,46310
449,623,46321
507,585,46331
507,585,46341
565,550,46351
565,550,46362
605,528,46373
626,517,46383
626,517,46394
641,510,46405
653,504,46415
653,504,46426
660,501,46436
664,499,46446
664,499,46458
666,499,46468
666,499,46479
667,498,46490
668,498,46500
668,498,46510
668,498,46521
669,497,46532
669,497,46542
671,496,46553.00000000001
671,496,46563
674,494,46574
677,492,46584
677,492,46595
680,490,46606
682,488,46616
682,488,46627
685,486,46637
690,483,46647
690,483,46658
694,481,46668
698,478,46679
698,478,46689
705,475,46700
705,475,46710
712,471,46721
720,467,46732
720,467,46743
727,463,46754
738,458,46764
738,458,46774
745,454,46785.00000000001
745,454,46795
752,451,46805
757,449,46815
757,449,46826
762,446,46837
766,444,46847
766,444,46858.00000000001
769,442,46868
771,442,46878
771,442,46890
772,441,46900
772,441,46910.00000000001
773,441,46921
773,441,46932
773,441,46943
773,440,46954
773,440,46964
773,440,46975
773,440,46985
773,440,46995
773,440,47006
773,440,47017
773,440,47028
773,440,47039
773,440,47050.00000000001
773,440,47060
773,440,47071
773,440,47081
773,440,47092
773,440,47103
773,440,47114.00000000001
773,440,47124
773,440,47134
773,440,47145
773,440,47156
773,440,47166.00000000001
773,440,47177
772,440,47188
772,440,47198
772,440,47209
772,440,47219
772,440,47230.00000000001
772,440,47241
772,440,47251
772,440,47262
772,440,47273
772,440,47283
772,440,47294.00000000001
772,440,47305
772,440,47315
772,440,47327
772,440,47337
772,440,47348
772,440,47359
772,440,47370
772,440,47380
772,440,47391
772,440,47402
772,440,47413.00000000001
771,440,47423
771,440,47433
771,440,47444
771,440,47454
771,440,47464
771,440,47475
771,440,47486.00000000001
771,440,47498
771,440,47509
771,440,47519
771,440,47529
771,440,47540
771,440,47552
771,440,47563
771,440,47574
771,440,47584
771,440,47595
771,440,47606
771,440,47617.00000000001
771,440,47628
771,440,47639
771,440,47650
771,440,47661
771,440,47671
771,440,47681.00000000001
771,440,47692
771,440,47743
771,440,47754
771,440,47764
771,440,47775
771,440,47785.00000000001
771,440,47796
771,440,47806.00000000001
771,440,47817
771,440,47827
771,440,47838
771,440,47849.00000000001
771,440,47860
771,440,47871
771,440,47881
771,440,47892
771,440,47903
771,440,47914
771,440,47925.00000000001
771,440,47937
771,440,47947
771,440,47958
771,440,47969
771,440,47980.00000000001
771,440,47991
771,440,48002
771,440,48013
771,440,48024
771,440,48035.00000000001
771,440,48045
771,440,48055
771,440,48066
771,440,48077
771,440,48088
771,440,48099.00000000001
771,440,48110
771,440,48121
771,440,48132
771,440,48143
771,440,48154
771,440,48165
771,440,48175.00000000001
771,440,48185
771,440,48196
771,440,48207
771,440,48218
771,440,48229
771,440,48240
771,440,48251
771,440,48262
771,440,48272
771,440,48283
771,440,48294.00000000001
771,440,48304
771,440,48314
771,440,48325
771,440,48336
771,440,48347
771,440,48359
771,440,48369
771,440,48380
771,440,48391
767,440,48405
763,442,48415
752,447,48425.00000000001
752,447,48436
732,458,48447
698,477,48457
698,477,48468
660,500,48478
660,500,48488
606,531,48499
576,550,48509
576,550,48520
545,568,48531
509,590,48541.00000000001
509,590,48552
472,614,48562
437,636,48573
437,636,48584
407,656,48594
407,656,48605.00000000001
381,672,48616
361,686,48627
361,686,48638
347,697,48648
330,710,48658
330,710,48669.00000000001
317,721,48679
305,729,48689
305,729,48700
296,736,48710
296,736,48721
292,739,48731
287,743,48742.00000000001
287,743,48752
284,746,48763
281,749,48773
281,749,48784
278,751,48795
275,753,48805
275,753,48816
272,754,48827
272,754,48838
269,757,48848
267,758,48858.00000000001
267,758,48869
265,759,48879
265,759,48890
265,759,48900
265,759,48911
265,758,48922.00000000001
265,758,48933
265,756,48943
265,756,48954
267,752,48965
271,747,48975
271,747,48985
275,744,48996
275,744,49006
281,736,49017
284,732,49027
284,732,49038.00000000001
286,729,49048
287,728,49058
287,728,49069
288,727,49080
288,727,49090
288,727,49101
288,727,49112
288,727,49122
288,727,49133
288,727,49143
288,727,49154
288,727,49164
288,727,49175.00000000001
288,727,49185
288,727,49196
288,727,49207
288,727,49218
288,727,49228
288,727,49238
288,727,49249
288,727,49260
288,727,49271
288,727,49281
288,727,49292
288,727,49302
288,727,49313
288,727,49324
288,727,49335
288,727,49346
288,727,49357
288,727,49367.00000000001
288,727,49377
288,727,49389
288,727,49400
288,727,49410.00000000001
288,727,49421
288,727,49432
288,727,49443
288,727,49454
292,725,49464
300,722,49475
300,722,49485
333,706,49496
380,680,49506
380,680,49517
413,662,49528
413,662,49538.00000000001
479,627,49549
515,606,49560
515,606,49571
562,579,49581
616,549,49592
616,549,49602.00000000001
661,525,49613
698,505,49623
698,505,49634
720,493,49645
741,482,49655
741,482,49666.00000000001
756,472,49677
756,472,49688
764,466,49698
768,462,49708
768,462,49719
770,460,49729
770,459,49739.00000000001
770,459,49750
770,459,49761
769,459,49771
769,459,49782
769,459,49793
769,459,49804
769,459,49814
769,459,49825
769,459,49835
769,459,49846
769,459,49857
769,459,49868
769,459,49880
769,459,49891
769,459,49902
769,459,49913.00000000001
769,459,49923
769,459,49934
769,459,49945
769,459,49955
769,459,49966
769,459,49977.00000000001
769,459,49988
769,458,49998
769,455,50008
769,455,50019
769,451,50029
770,446,50039
770,446,50050.00000000001
771,440,50060
771,440,50071
772,435,50081
772,433,50092
772,433,50102.00000000001
772,433,50113
772,433,50123
772,433,50134
772,433,50145
772,433,50156
772,433,50167
772,433,50177
772,433,50188
772,433,50198
772,433,50209
772,433,50220
772,433,50231
772,433,50242.00000000001
772,433,50252
772,433,50263
772,433,50274
772,433,50284
772,433,50295
772,433,50305
772,433,50316
